Word,Frequency
智慧医疗,236
人工智能,166
信息化,127
大数据,126
物联网,116
智慧财务,96
智慧服务,77
智慧管理,75
互联网+,69
电子病历,61
财务管理,54
远程医疗,54
医院信息化,53
高质量发展,52
云计算,52
医疗服务,50
智慧医院建设,49
精细化管理,42
互联网+医疗,41
分级诊疗,40
业财融合,40
互联网医院,39
智能化,36
5G,35
数字化转型,34
互联网+医疗健康,32
信息技术,30
医疗质量,29
网络安全,29
互联网,27
物联网技术,26
5G技术,25
智慧城市,25
内部控制,24
信息安全,24
移动医疗,23
疫情防控,22
医疗大数据,21
运营管理,21
智慧门诊,21
信息系统,20
智慧化,20
数据中心,19
后勤管理,19
数字化,19
医疗改革,18
医疗设备,18
智慧病房,17
数据分析,17
数据安全,17
互联互通,17
互联网医疗,17
数字孪生,16
就医体验,16
智慧后勤,16
患者体验,15
医联体,15
医院信息系统,15
财务信息化,15
BIM技术,15
医院建设,14
应用,13
建设,13
医院建筑,13
智慧运维,13
健康管理,13
数据共享,13
BIM,13
绩效考核,12
医院信息化建设,12
信息化管理,12
信息平台,12
建筑信息模型,12
医疗服务质量,12
智慧化管理,11
医疗行业,11
远程会诊,11
智能化系统,11
医患关系,11
医疗管理,11
智慧药房,11
管理,11
人才培养,11
人脸识别,11
移动支付,10
移动互联网,10
绿色医院,10
一站式服务,10
患者就医体验,10
医疗健康,10
大数据分析,10
患者满意度,10
信息化平台,10
数字化医院,10
现代医院管理制度,10
流程再造,10
安全管理,10
机器学习,10
可持续发展,9
自助服务,9
医院后勤管理,9
云计算技术,9
医疗资源,9
医院后勤,9
运维管理,9
一体化,9
深度学习,9
新型冠状病毒肺炎,9
全生命周期,9
医疗物联网,9
数据治理,9
智慧护理,8
智慧消防,8
医疗,8
区块链技术,8
标准化,8
集成平台,8
智慧财务管理,8
数据挖掘,8
智慧型医院,8
医院财务,8
患者服务,8
数据管理,8
学科建设,8
公立医院改革,7
医疗资源配置,7
医改,7
系统架构,7
智慧化建设,7
信息服务,7
文化建设,7
医院高质量发展,7
健康医疗大数据,7
云平台,7
信息共享,7
医疗资源整合,7
医院档案,7
公立医院高质量发展,7
医疗质量管理,7
系统集成,7
智能建筑,7
发展前景,7
成本核算,7
医疗效率,7
管理会计,6
环境保护,6
医院智慧财务,6
能源管理,6
创新,6
互联网技术,6
电子病历系统,6
微信公众号,6
服务质量,6
资产管理,6
医院运营管理,6
人力资源,6
全生命周期管理,6
护理,6
现代化医院,6
财务转型,6
预约诊疗,6
远程医疗服务,6
医疗技术,6
智慧服务分级评估,6
中医医院,6
智慧运营,6
医疗资源共享,6
档案管理,6
互联网诊疗,6
流程优化,6
电子健康档案,6
算法,6
可视化,6
实践,6
智慧,6
区块链,6
药学服务,6
自动化,6
信息化技术,6
应用场景,6
云服务,6
预算管理,6
数字经济,5
转型,5
智慧医院管理,5
气候变化,5
风险控制,5
消防系统,5
信息管理,5
管理平台,5
智慧医保,5
健康中国,5
资源整合,5
智慧交通,5
智慧养老,5
智慧社区,5
体系架构,5
人工智能技术,5
医疗服务模式,5
顶层设计,5
可穿戴设备,5
便民服务,5
5G网络,5
报销模式,5
多院区,5
发热门诊,5
后勤信息系统,5
态势感知,5
安全运营,5
智慧党建,5
构建,5
口腔医院,5
施耐德电气,5
智慧档案,5
无线网络,5
智慧财务系统,5
管理模式,5
业务流程,5
智慧平台,5
医院智慧管理,5
设备管理,5
医院发展,5
医院图书馆,5
医疗建筑,5
三甲医院,5
精准医疗,5
数字技术,5
综合布线系统,5
医用耗材,5
医疗联合体,5
内控管理,5
智慧财务建设,5
人力资源管理,5
科技创新,4
医疗产业,4
财务会计,4
新基建,4
PEST分析,4
技术应用,4
运营效率,4
SWOT,4
网络安全技术,4
物业管理,4
医疗系统,4
质量控制,4
联想集团,4
民营医院,4
信息化质控,4
医养结合,4
设计,4
医疗数据,4
系统设计,4
大数据技术,4
智能化设计,4
智慧建筑,4
平战结合,4
医院智慧服务,4
决策支持,4
常态化疫情防控,4
能耗管理,4
远程诊断,4
医院智慧财务管理,4
数字化工具,4
工作效率,4
微信,4
护理管理,4
PPP模式,4
医院财务管理,4
患者中心,4
安全,4
医疗卫生,4
质量管理,4
节能减排,4
大型医院,4
5G网络技术,4
隐私保护,4
大数据平台,4
ChatGPT,4
会计信息化,4
远程手术,4
问题,4
对策,4
信息安全保障,4
物流系统,4
能源,4
发展趋势,4
专科医院,4
智慧结算,4
体系建设,4
门诊服务,4
节能降耗,4
健康教育,4
血液质量,4
战略合作,4
RFID,4
数字医院,4
智能机器人,4
数据集成,4
远程诊疗,4
后疫情时代,4
智慧工地,4
医疗安全,4
电子档案,4
成本控制,4
公共卫生服务,4
智慧医疗服务,4
医学科技创新,4
智能化技术,4
动态管理,4
财务智能化,4
财务风险,4
全面预算管理,4
移动智慧医院,4
医疗数字化,4
资源共享,4
医疗创新,4
建设方案,4
智能化管理,4
现代医院管理,4
互联网+智慧医疗,4
智慧物流,4
5G智慧医院,4
智慧后勤管理,4
医疗技术创新,3
智慧运维平台,3
第三方支付,3
资金安全,3
医技检查,3
智慧金融,3
能源管理系统,3
设备运维管理,3
临床决策支持系统,3
临床数据中心,3
建筑节能,3
移动计算技术,3
医疗应用管理,3
决策支持系统,3
应用安全,3
质量与信息化,3
规划设计,3
移动办公,3
三位一体,3
建筑智能化,3
价值医疗,3
中央空调系统,3
医疗设备管理,3
系统,3
疾病诊断相关分组,3
节能设计,3
智慧停车,3
智能导诊,3
边缘计算,3
虚拟化,3
微信支付,3
互联网+技术,3
医院档案管理,3
安全生产,3
就医流程,3
新冠疫情,3
楼宇自控系统,3
医疗建筑设计,3
供应链管理,3
医学信息学,3
指标体系,3
门禁系统,3
医疗质量控制,3
数字化医疗,3
综合医院,3
医疗机器人,3
闭环管理,3
医共体,3
全民健康信息化,3
家庭医生签约服务,3
医院信息标准化,3
区域医疗中心,3
医疗卫生服务体系,3
AI,3
智能医疗,3
基础设施,3
健康大数据,3
全生命周期健康管理,3
云医院,3
政府会计制度,3
医院经济管理,3
智慧安防,3
医院信息化平台,3
生活质量,3
基层医院,3
医疗体制改革,3
三级甲等综合医院,3
药事服务,3
生成式人工智能,3
平行智能,3
数字医生,3
医疗模式,3
数字化管理,3
5G时代,3
药事管理,3
健康中国战略,3
智慧财务体系,3
医院门诊,3
节能管理,3
运维效率,3
经济效益,3
PDA,3
用药指导,3
医疗质量安全,3
医联体建设,3
发展路径,3
优化设计,3
网络架构,3
医院文化,3
智慧后勤平台,3
内部控制制度,3
空间管理,3
区域医疗,3
医院后勤服务,3
智慧物流系统,3
互联网+时代,3
管理策略,3
现状,3
实施路径,3
医疗人工智能,3
评价指标,3
建设路径,3
就医服务,3
系统建设,3
智慧图书馆,3
射频识别技术,3
解决方案,3
财务,3
数据标准化,3
监控平台,3
模式,3
固定资产,3
无纸化,3
知识库,3
智慧护理服务模式,3
网络安全体系,3
医疗发展,3
智能分析,3
微服务,3
医院感染,3
CiteSpace,3
智慧药学,3
智慧财务报销,3
构建策略,3
耗材管理,3
可视化分析,3
知识图谱,3
医院信息平台,3
工业4.0,3
应急救援,3
数据平台,3
财务效率,3
财务人才,3
运维体系,3
智慧后勤服务平台,3
国家医学中心,3
绩效管理,3
应用效果,3
智慧病历,3
信息孤岛,3
发展现状,3
公共卫生事件,3
运维平台,3
医德医风,3
视频监控系统,3
管理系统,3
平台建设,3
模块化,3
医疗服务体验,3
物流,3
智慧手术室,3
社会效益,3
业财一体化,3
传染病,3
医院精细化管理,3
银医直联,3
监控系统,3
服务模式,3
医疗服务体系,3
绿色智慧医院,3
室内定位,3
医院预算管理,3
智能制造,3
网络建设,3
全光网络,3
人文医院,3
自助机,3
业务流程再造,3
医企联合,3
运维,3
建筑设计,3
新冠肺炎,3
分级评估标准体系,3
医疗费用,3
互联网＋,3
精细化,3
SWOT分析,3
健康管理平台,3
资源配置,3
数字化建设,3
手术追溯,2
后勤运维平台,2
音视频,2
智慧后勤保障,2
智慧医疗共享,2
智慧数据平台,2
需求调研,2
三级综合医院,2
门诊,2
BIM运维,2
医保管理,2
网络规划,2
应用技术,2
智慧医院平台,2
BIM 竣工模型,2
智慧互联网医院,2
医疗产业链,2
项目管理,2
就诊流程优化,2
智能化建设,2
信息机房,2
PACS系统,2
信息化系统,2
智慧化医院,2
人才发展,2
管理创新,2
就诊流程,2
无形资产,2
医疗信息化建设,2
节能控制,2
安全防范,2
老年友善医院,2
电子政务,2
精益运营,2
云门禁,2
无感支付,2
预约挂号,2
绩效评价,2
建设策略,2
文本挖掘,2
新时代,2
医疗保健,2
分级评估,2
服务,2
医疗应用,2
数据库建设,2
系统开发,2
电子技术与软件工程,2
产业变革,2
传感器,2
慢性病,2
系统应用,2
传染病医院,2
多院区管理,2
医用耗材管理,2
多中心调研,2
收费窗口,2
统一对账平台,2
医院消防,2
智能管理,2
安全保障,2
运营成本,2
移动互联,2
第五代移动通信技术,2
视频监控,2
报警管理,2
医院财务转型,2
满意度调查,2
能耗分析,2
政策法规,2
医保报销,2
药品流通,2
医疗服务品质,2
组网方案,2
健康中国行动,2
十四五规划,2
危化品管理,2
后勤信息化,2
人工智能辅助诊疗,2
科研,2
隐私安全,2
组网设计,2
切片技术,2
移动边缘计算,2
线上支付,2
医疗设计,2
绿色建筑,2
5G医疗,2
精益管理,2
病案复印,2
服务体系,2
护理信息化,2
虚拟化技术,2
专科建设,2
医院安防管理,2
医院智能化系统,2
网络安全挑战,2
健康档案,2
碳中和,2
财务数字化转型,2
社区,2
党建引领,2
糖尿病,2
大健康,2
通用人工智能,2
医学基础模型,2
医疗场景工程,2
医用操作系统,2
智能医学,2
财务价值,2
装配式建筑,2
优质医疗资源,2
智能技术应用,2
降本增效,2
未来医院,2
公立医院绩效考核,2
运行管理,2
收费系统,2
建设现状,2
运营策略,2
城市管理,2
智能交通,2
智慧节能,2
血液安全,2
工会,2
医疗保障信息平台,2
智慧工会,2
蓝牙,2
数字化改革,2
5G通信技术,2
后勤,2
重大项目管理,2
精益建造,2
智慧后勤系统,2
医院物业服务,2
标准化建设,2
患者安全,2
科研创新,2
医患友好度,2
失禁,2
网络安全管理,2
网络安全设计,2
信息化战略,2
医疗废物,2
智慧馆员,2
韧性医院,2
预约诊疗制度,2
人性化设计,2
服务创新,2
医院运营效率,2
医院运营管理决策系统,2
AI技术,2
智慧院区,2
应急处理能力,2
医患互动,2
关键技术,2
优势,2
智慧血液,2
用户管理,2
转型路径,2
支付宝未来医院计划,2
院外关怀系统,2
智慧型,2
软件设计,2
人工智能+,2
体系,2
卡码融合,2
流程管理,2
运行模式,2
线上诊疗,2
智慧服务平台,2
病种控费,2
医保违规,2
综合监控,2
设备,2
智能家居,2
肿瘤医院,2
研究型医院,2
智能物流,2
医学中心,2
最多跑一次改革,2
诊间结算,2
数据质量,2
医药卫生体制改革,2
基层医疗卫生服务,2
微信平台,2
卷积神经网络,2
上海,2
转型升级,2
微信公众平台,2
智能,2
探索,2
自助支付,2
法律法规,2
智能医院,2
改进措施,2
改造,2
实战化,2
口腔医疗,2
智慧口腔医疗,2
智慧口腔医院,2
口腔医学,2
SPD信息化建设,2
三级库房管理,2
慢病管理,2
数据采集,2
内部审计,2
风险管理,2
药品,2
线上报销,2
智慧视频监控,2
智慧大脑,2
社区卫生服务中心,2
e-Healthcare,2
医保,2
服务水平,2
医疗服务新模式,2
采购管理,2
健康4.0,2
标准化管理,2
多网融合,2
计算机网络,2
疫情应用,2
家庭医生签约,2
医院智慧后勤管理,2
医保支付政策,2
智能时代,2
个性化,2
精细管理,2
重症医学,2
平台,2
风险预警,2
风险管控,2
医院智慧化,2
对账,2
智慧能源,2
转化医学,2
财务管理系统,2
医院物流系统,2
数据应用,2
智能建筑电气技术,2
智慧医疗服务体系,2
数据备份,2
三级公立医院,2
服务运营,2
医疗服务创新,2
创新型医院,2
国际交流,2
疾病预防控制,2
医学教育,2
三级医院,2
患者信息管理,2
智慧门诊就医体系,2
高值耗材管理,2
自动化药房,2
互联网供应链金融,2
支付宝,2
物联健康,2
医疗信息系统,2
数字化平台,2
数据资源管理,2
发展战略,2
SWOT分析法,2
机器人,2
健康服务,2
RFID技术,2
县级公立医院,2
数据,2
平台化,2
金融服务,2
便民惠民,2
大数据时代,2
辅助决策,2
后勤保障,2
国际合作,2
互联网医疗服务,2
临床科研,2
配送,2
科研管理,2
智慧病区,2
智慧财务管理系统,2
信息化应用,2
数字化技术,2
会计管理,2
领导力,2
管理绩效,2
业务处理效率,2
风险防范,2
信息一体化,2
数据分析与预测,2
5G应用,2
后勤建设,2
医院运维,2
计算机工程,2
机电控制,2
满意度,2
门诊流程优化,2
床旁结算,2
掌上智慧医院,2
医院药学,2
信息化体系,2
住院结算,2
流程改造,2
智能系统,2
医院智能化,2
制度建设,2
病案管理,2
Hadoop集群,2
电子处方,2
健康扶贫,2
公立医院综合改革,2
健康城市,2
效果,2
智慧护理平台,2
药品研发,2
分诊系统,2
接口管理,2
智能运维,2
平疫转换,2
卫生服务模式,2
智慧健康,2
医疗机构,2
智慧建造,2
成本管理,2
新冠肺炎疫情,2
PON网技术,2
POL全光网,2
收费处,2
收费管理系统,2
党建,2
社区医院,2
以人为本,2
财务报表,2
财务审计,2
分析,2
IT基础设施,2
电子病历共享,2
综合水系统,2
医院服务,2
医保基金监管,2
网络系统,2
建设标准,2
护理质量,2
数据安全保障,2
移动护理信息系统,2
路径,2
医疗健康物联网,2
妇幼保健院,2
统一视频服务平台,2
后勤设备,2
预算编制,2
预算执行,2
未来,2
HRP系统,2
研究现状,2
知识体系,2
规则引擎,2
平行医院,2
数字健康,2
多学科诊疗,2
发展规划,2
功能,2
智能技术,2
物资管理系统,2
财务管理信息化,2
会计核算,2
固定资产管理,2
用户体验,2
服务平台,2
5R模型,2
技术创新,2
医学影像信息系统,2
医学影像,2
实施效果,2
精准预约,2
互联网时代,2
政策诉求,2
县医院,2
医疗健康信息互联互通,2
智慧应用,2
智慧财务报销系统,2
医疗市场,2
医疗资源下沉,2
发展,2
信息流,2
妇科,2
经济管理,2
对账平台,2
数据模型,2
服务系统,2
数据交换,2
智能监控,2
精品医院,2
医疗健康信息化,2
成都,2
智慧中药房,2
日间手术,2
人机协同,2
效率,2
医患沟通,2
后勤服务,2
智城模式,2
医院信息管理系统,2
财务管理模式,2
移动护理终端,2
安全性,2
计算机技术,2
主数据管理,2
医院数字化,2
支付模式,2
研究热点,2
团体标准,2
文献计量法,2
同质化,2
APP,2
医院智能化建设,2
临床信息系统,2
数据驱动,2
数据可视化,2
慢性病管理,2
预防式维护,2
医疗流程优化,2
指标,2
数据湖,2
射频识别,2
财务职能转变,2
智能分析机器人,2
财务信息化建设,2
AI+医疗,2
安防系统,2
临床路径管理,2
ODR,2
患者为中心,2
医院智慧档案,2
智慧仓储,2
医疗影像云平台,2
手术质量,1
智慧化运营体系,1
医学人才培养,1
疾病防治网络,1
品牌传播,1
数智治理,1
科大新医学,1
心血管病管理,1
医院后勤数智化管理,1
医院智慧化建设,1
老龄化,1
无接触式,1
自动化预约,1
无线烟感报警系统,1
雷神山医院,1
NB-IoT技术,1
医院食堂,1
重点模块,1
HIMSS认证,1
数据流动,1
质量与安全,1
医疗健康服务体系,1
公立医院管理,1
智慧办公系统,1
智能化系统设计,1
后勤服务管理,1
数智化平台,1
私有云服务,1
建模,1
大型综合医院,1
门诊部,1
布局,1
流线,1
设计研究,1
基金监管,1
互联网+健康医疗,1
AI陪诊,1
医疗协作,1
医院会计,1
智慧化工作,1
信息化研究,1
5G移动通信,1
部署应用,1
特点,1
医院暖通系统,1
智慧运行,1
节能措施,1
数据采集技术,1
数据分析技术,1
自动控制技术,1
设备优化,1
卫生事业改革,1
法规建设,1
HIS,1
电气自动化,1
故障预防,1
检修技术,1
智慧运维系统,1
集成分析,1
银川市,1
医疗监管,1
复合型人才,1
人才队伍建设,1
新技术能力,1
服务能力,1
沟通能力,1
协调能力,1
口头表达能力,1
KPI考核,1
实习生制度,1
自主研发,1
项目轮岗,1
疾病预测模型,1
智慧医疗系统,1
KNN算法,1
DBSCAN算法,1
业务性能监控,1
叫号系统故障分析,1
业务系统故障分析,1
蠕虫病毒检测,1
内网爬虫检测,1
Web弱口令审计,1
一体化后勤服务,1
产业升级,1
斯马特物业,1
病案首页,1
就医行为,1
全景预约平台,1
数字骨科技术,1
设计概念,1
顶层规划,1
评级标准,1
信息技术系统基础设施,1
医院信息运维平台,1
企业级移动互联,1
业务创新,1
医疗行业整合方案,1
ISV,1
UPS产品,1
电子商务平台,1
工作结构,1
工作场景,1
优化保障,1
中国医疗设备,1
西门子医疗,1
AED,1
迈瑞生物医疗电子,1
SunLife医疗,1
急救医学,1
医学工程学,1
一体化信息产品,1
一体化医疗信息团队,1
赋能,1
组织变革,1
团队建设,1
聚合支付,1
缴费,1
医院智慧服务分级管理,1
医疗服务信息化,1
医疗收费,1
后勤综合保障系统,1
全流程闭环,1
状态监测,1
大型影像类,1
5G长者守护计划,1
长者服务卡,1
数字化适老,1
合并症,1
伴随病,1
泌尿系统,1
宽带中原,1
信息惠民,1
智慧旅游,1
电子商务,1
数字化城市管理,1
智慧养老云平台,1
医院运营,1
经济运营闭环管理,1
医疗收入质量,1
医疗成本控制,1
绩效考核激励机制,1
资源配置优化,1
学科改革,1
智慧化医院运营管理,1
EPC项目机电总承包管理,1
室外管网BIM+无人机管理,1
医疗专项深化设计,1
装配式设备机房预制管段标准化,1
预埋预留重难点,1
垃圾被服物流技术,1
EPC项目物资招采管理,1
材料智慧仓储管理,1
机电智慧建造,1
MDT模式,1
多学科诊疗体系,1
循环立体交通模式,1
分布式能源技术,1
一体化机房配置,1
IP化医用系统,1
绿色建筑设备管理系统,1
IBMS集成系统,1
能耗管理与计量系统,1
机电数字化加工厂,1
机电智慧仓库,1
BIM+VR+AR虚拟现实和增强现实技术,1
三维激光扫描技术,1
无人机技术,1
智慧建造指挥中心,1
BIM+智慧工地平台,1
智能化施工流水作业线,1
数字中国BIM+智慧工地示范基地,1
四川省绿色施工示范工程,1
心理健康问题,1
跟踪管理,1
绿色医疗,1
资源节约,1
智慧化升级,1
人性化服务,1
影像检查,1
战略决策,1
财务工作效率,1
财务信息化人才,1
科研管理系统,1
RFID射频识别装置,1
6LoWPAN通信,1
IPv6协议,1
多租户,1
终端,1
安全建设,1
数据化管理,1
医院机房,1
高效基础设施,1
智能化门诊预约系统,1
医学信息,1
自动分类技术,1
供配电解决方案,1
医院智慧通行,1
健康码核验,1
医院安检管理,1
病区访客管理,1
危急值,1
奋斗,1
新中国成立,1
70周年,1
5G广电,1
环境绩效,1
自主招标采购模式,1
解读,1
旧环境,1
智能卡,1
系统平台,1
局限性,1
商业银行,1
市场营销,1
银医合作,1
4R营销理论,1
建设标准体系,1
政策研究,1
应用案例,1
重庆,1
微信智慧生活,1
腾讯战略投资,1
医疗健康领域,1
丁香园,1
微信系统,1
医生资源,1
华为云,1
智慧科技,1
不动产管理,1
智慧园区,1
AI算法,1
合作共赢,1
不动产数字化管理,1
资产经营,1
智慧物管,1
不动产全链条,1
基础数据数字化,1
增值服务,1
配套服务,1
物业管理信息化,1
资产管理信息化,1
城市开发,1
物业营理,1
价值链协同,1
服务应用,1
管理应用,1
消防应用,1
信息推荐,1
多层次检索机器,1
智慧管理人才培养,1
病区系统,1
无线输液智能监控,1
体征采集,1
楼宇自控,1
安全质量管理,1
施工培训,1
建筑施工,1
施工现场监督,1
医护人员培训,1
程序设计,1
自动化控制,1
技术变革,1
物联协同运营平台,1
可穿戴,1
定位,1
射频,1
资源调度,1
事件处置,1
故障排除,1
运营维护成本,1
LIFE流,1
医疗供给需求,1
智慧化科技,1
智慧医院信息化建设,1
医疗产业革命,1
智慧医院解决方案,1
数字化战略,1
智慧能源系统,1
智慧运维技术,1
改进模糊聚类,1
复杂网络链路,1
链路预测,1
数学建模,1
综合,1
门诊医疗,1
系统构建,1
安全联动,1
中国速度,1
建筑科技,1
智慧供应链模式,1
零库存,1
科技量值,1
医院评价,1
区域卫生信息平台,1
PDSA改进模型,1
自动化对账,1
异常交易处理,1
电子化交账,1
智慧出入口系统,1
时间驱动作业成本法,1
智能化医疗,1
POCT血糖管理,1
移动数字医院,1
医疗生态重构,1
安防管理平台,1
卫星导航,1
GIS地图,1
医疗卡,1
HIS系统,1
医疗服务改进,1
综合智慧能源,1
工况寻优,1
电气设计,1
供电安全,1
节能,1
数字智慧,1
品牌战略,1
抗c-mpl抗体,1
TPO,1
c-mpl受体,1
信号通路,1
免疫反应,1
糖皮质激素,1
免疫抑制剂,1
